Predicted Class,True Class,Email
Weight,Template,<COMPANY> <NUMBER> Could you please change the finger pull setting on even number <PRODUCT> sets for the <COMPANY> account to NO as a standard please <NAME>
Information,Information,FW We have received the below email OSS generated the glass sizes which look quite unusual I ran it by <NAME> <NAME> and he did agree that he has not seen so many decimal points before and advised I should speak to you Please could you look into it and advise <NAME> <NAME>
Colour,Action,<PRODUCT> <COLOUR> handle for <STYLE> OSS team <NAME> has advised that the <COLOUR> colour option is missing for the <PRODUCT> handle range on <STYLE> the only option is <COLOUR> Please can we add the <PRODUCT> <COLOUR> handle as an option Its listed in the BOM on <NUMBER> Let me know if theres any reason why we cant <NAME>
Documents,Documents,Generating documents <COMPANY> Quote <NUMBER> The customer and I are both struggling to generate the documents <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,Account,OSS learn login details <COMPANY> <NUMBER> <ADDRESS> ID <NUMBER> Could you please send login details for the above account email address to use is <EMAIL> <EMAIL> training has been booked for <NUMBER> <NUMBER> <NUMBER> <NAME>
Account,Account,Urgent login codes All Can I please have the learn login codes for the following companies <COMPANY> customer id <NUMBER> <COMPANY> were live for ordering but the company has recently been sold to a new owner who is using the email address <EMAIL> <EMAIL> <COMPANY> customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Logo,Template,New configurations OSS <COMPANY> customer ID <NUMBER> All Can you please arrange for new OSS configs to be setup for customer <COMPANY> customer ID <NUMBER> <NAME> <NAME> <EMAIL> 
Status,Status,Order <NUMBER> Morning Chaps Ive been an idiot sorry this seems a weekly occurrence please can you change the status on order <NUMBER> to awaiting final payment
Account,Account,New OSS Account <NUMBER> <COMPANY> Can you please create a new OSS account for the following customer Customer <NUMBER> Company <COMPANY> Contact <NAME> <NAME> Please use the following email address as the user log in <EMAIL> <EMAIL> This customer doesnt require any OSS training and can be set up as LIVE <NAME> has worked with us previously through another company <NUMBER> <COMPANY> however his partner is retiring at the end of the year so hes going solo with this new company <COMPANY> <NAME> <NAME> has confirmed this and has asked if they can be set up Live on OSS ASAP as <NAME> is keen to start placing orders on the new account <NAME> also confirmed that he would like the OSS account for <COMPANY> to remain open for the time being as he still needs access to existing orders quotations and that orders will still be placed on this account up until <DATE> He said he will advise when this account can be closed but it will definitely be in <DATE> When this is confirmed I will be sure to pass this on Once the new OSS account is set up please confirm the log in credentials so I can this to the customer <NAME> I thought Id copying you in as Im not sure needed to be kept in the loop on these type of things I dont believe anything needs to be actioned your end <EMAIL>
Account,Account,login codes for next weeks OSS training All Can I please have the login codes to OSS learn for the following companies <COMPANY> customer id <NUMBER> <COMPANY> customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Information,Error,Issue <NAME> <NAME> Please can you advise on the issue Team I am still having an issue with putting an EA report into Excel This only happens when I print the customers on stop report Please advise <EMAIL> and have a wonderful <TIME>
Project,Account,OSS <COMPANY> <NAME> from <COMPANY> <NUMBER> has called this to let us know that his employee <NAME> is no longer working for <COMPANY> and has asked for his OSS account to be deleted Please can you action this <NAME>
Account,Account,log in details can you please send me log in details for <COMPANY> id <NUMBER> <NAME> <NAME>
Documents,Project,Error opening project I was just about to send this quote to the customer when OSS decided it wanted to stop working I have made the amendment I needed but I cant go back into the project to print it
Account,Account,FW OSS Credentials FAO <NAME> Good afternoon I believe <NAME> contacted you asking for Log in details for <COMPANY> previously Their customer ID on Easiadmin is <NUMBER> They are saying that the log in details still do not work please can you take a look into this in advance <NAME> <NAME>
Forward,Admin,FW <COMPANY> Pricing Are you also able to change the billing address on the customer spec as per the below request <NAME>
Gables,Error,<NUMBER> <NAME> from <PRODUCT> production phoned in regards to the above order The customer did this online and requested trims however this does not show on Easi Admin and didnt seem to add it to the work sheet which they printed <PRODUCT> show the trim but when I checked this <PRODUCT> there is nothing to mention trim Please look into this
EqualGlass,EqualGlass,<PRODUCT> glass sizes The glass sizes arent showing on this <PRODUCT> order on OSS Please can you look into this
Forward,Information,FW Origin <PRODUCT> Handle Offering All Can you please see the email chain below Solutions arent sure why we have three options of <PRODUCT> handle available on the educational version of OSS Can you please advise <NAME> 
Reminder,Error,<NUMBER> I cancelled this order about <NUMBER> <TIME> ago and it isnt in quotes and I cannot find it anywhere I just wanted to change the cills
Weight,Gables,RE Customer ID <NUMBER> <PRODUCT> Access Guys Im happy for them to have access to the <PRODUCT> tab again
Callback,Template,oss templates Is it possible to set up a template that is completely blank so that none of the options are pre populated
Callback,Error,EasiAdmin Error I get an error every time I try to print the customer delivery email from Easi admin for orders please see attached Please could you have a look <NAME>
Gables,Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have a learning login code and link to OSS for the <PRODUCT> tab The customer is <NAME> from <COMPANY> id <NUMBER> I am training <NAME> this afternoon <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,FW log ins and ordering permission for <COMPANY> customer id <NUMBER> <NAME> Could you please set up the email addresses below with a live login code for quoting and ordering on account number <NUMBER> <NAME>
Account,Account,FW Origin Sale Safe Sign Off Forms <COMPANY> customer id <NUMBER> All Can you please send me a live login code for <COMPANY> customer id <NUMBER> They should be live for quoting only please I will save their signoff form to the Gdrive <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Error,Information,<PRODUCT> has disappeared Please can you look into this <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Callback,Pricing,<NUMBER> Can someone please check that this price is definitely correct with no shortfall charge
Weight,Weight,FW <PRODUCT> weight Guys Can anyone help me with the weight of the attached <PRODUCT> please if you need the OSS project its quote <NUMBER> <NUMBER>
Logo,Template,Updates to <COMPANY> Defaults on OSS customer id <NUMBER> <NAME> Could you please see the attached forms for <COMPANY> default setting requirements customer id <NUMBER> I filled in these forms for <NAME> some time ago and he has requested some amendments Please find his amendments in the boxes on the attachment Please let me know if you need any clarification <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,Account,FW OSS Live For Quoting Only <COMPANY> customer id <NUMBER> All Could you please send me over a new OSS live login code for quoting only for the email address below <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME>
Gables,Account,FW OSS signoff form for <PRODUCT> <NAME> Please could you set up <COMPANY> with their live for ordering <PRODUCT> tab The customer id is <NUMBER> <NAME>
Error,Information,OSS Development <STYLE> <PRODUCT> size restrictions The info box tells me my min height for the top section is <LENGTH> but when I do this it still results in a sash height error The sash then tells me I need a min height of <LENGTH> and the sash is currently <LENGTH> high Should the info box not say <LENGTH> in the first place <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Error,Weight,Frame Weight Is there any way we can get the frame weight of <PRODUCT> <NUMBER> <NUMBER> and <NUMBER> please <EMAIL>
Account,Account,New Direct Customer Could you please send me the login details for the following customer QUOTE ONLY ID <NUMBER> <COMPANY> <EMAIL> <EMAIL> <EMAIL>
Account,Account,<NUMBER> <COMPANY> Please provide Live OSS credential for this company Company name was amended due business issues explanatory email below but they are fully trained <EMAIL> <COMPANY> <NUMBER> <NAME>   <NAME> <NAME>   <EMAIL>
Information,Error,Urgent <STYLE> Cutting lengths team We have found an issue with cutting lengths of transoms for a crucifix detail Job ref <NUMBER> <NAME> is coming down at <NUMBER> to take a look and will feed back any findings that need addressing At this stage the <NUMBER> big <NUMBER> square crucifix <PRODUCT> for <COMPANY> will not be making it out for delivery tomorrow We will miss OTIF The problem is as follows When you measure tops and bottoms all is well all bar a few <LENGTH> out ish When you measure the Transoms across <PRODUCT> it is <LENGTH> shorter than tops and bottoms of frame In simple terms the Transom lengths are not long enough Not sure what rule set is used for cutting but I would say it is shy of being correct We wont cant do anything with <PRODUCT> until your feedback is given
Pricing,Pricing,Pricing issue w quote Team Please see below I opened this quote in OSS and started converting it to an order Once I converted it I check the pricing and it matched the original quote I opened the new order in Easi and it showed a price difference of <NUMBER> I cancelled the order however now it shows the quotation is more expensive than the original Please advise <NAME> <NAME> 
Account,Account,live login credentials Can you please send me the live login credentials for <COMPANY> <NUMBER> thanks
Account,Account,FW <COMPANY> customer id <NUMBER> <NAME> Can you please set up <COMPANY> as live on OSS for <PRODUCT> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Error,Action,<PRODUCT> configurations Do you remember us talking about the different configurations of <PRODUCT> specifically a <NUMBER> vertical you said it was on the test system and could be added to the live quite easily If this is possible I have a quote where I have a few <NUMBER> and <NUMBER> vertical <PRODUCT> that would make it so much easier if this can be done if not no worries I will do it on logikal Many <NAME> <NAME> <EMAIL> 
Forward,Information,FW Guarantees Are you able to sort the below please Cheers <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,FW OSS login for <NAME> <COMPANY> customer id <NUMBER> All Can I please have an OSS live login code for the email address below <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME> 
Forward,Account,learn account on OSS All <NAME> has mentioned that he cant access the learn OSS programme from his ipad It works fine from his laptop Can you please let me know whether we have an alternative account that <NAME> can use when training his customers
Access,Error,OSS jobsheet LOCK SIZE We have come across a job sheet with the wrong lock size on The attached job sheet is asking for lock <NUMBER> but the <PRODUCT> is to big and the correct lock is a lock <NUMBER>
Account,Account,FW Origin Sale Safe OSS login code All Can you please send me a live OSS login code for <COMPANY> customer id <NUMBER> The email address is <EMAIL> <EMAIL> <NAME>
Action,Feedback,<COMPANY> customer id <NUMBER> Feedback All I have received some OSS feedback from <NAME> at the <COMPANY> <NAME> has mentioned that mistakes are often made by our office when he requests a shared <PRODUCT> <PRODUCT> cill This might be requested when coupling a <PRODUCT> to a <PRODUCT> or when ordering a <PRODUCT> <PRODUCT> with side flags <PRODUCT> coupled to it <NAME> has asked if we can please add the option for a continuous shared cill on OSS when ordering these items <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Delivery,Delivery,RE <NUMBER> <COMPANY> <NAME> This has been resolved <NAME> – Please schedule as we cannot do this EA Team – Please amend the order above to <DATE> 
Status,Error,easiadmin Notify Purchasing Button There is a notify purchasing button while placing ancillary orders We have been asked by purchasing to ensure we use it however it does not allow you to notify them until the order is placed it comes up with the below message Once placing the order the button disappears please see below At what stage shall we be pressing this button and also how should we place the order to ensure it allows us to send a notification to purchasing <NAME> <NAME>
Documents,Information,easi admin quote <NUMBER> Can you please have a look at quote number <NUMBER> on Easi Admin and check if you can get it to generate a picture of the <PRODUCT> on the quote confirmation <NAME>
Account,Account,FW <COMPANY> OSS link <NUMBER> All Could you please set up the email address below with a live login code to quote only on OSS The customer id for <COMPANY> is <NUMBER> <EMAIL> <EMAIL> <NAME>
EqualGlass,Error,OSS New Frame Extender Issue with Glass Sizes <NAME> Please see attached the Quotation <NUMBER> OSS Project is <NUMBER> I have produced two identical quotations and the glass sizes have stayed the same even when the <LENGTH> frame extension is added The glass sizes should reduce when a frame extender is added <NAME> <NAME>
Pricing,Pricing,Issue w pricing from quote to order Team I have an issue with the below quote order Before converting this to order I adjusted the width and height per the customers notes this decreased the width by <NUMBER> <NUMBER> and increased the height by <NUMBER> The order pricing is significantly higher than what was quoted and I reduced the size of the unit understand why the pricing increased <NAME> <NAME> 
Account,Account,OSS Login codes for this week All Can I please have the login codes to OSS for the following companies <COMPANY> customer id <NUMBER> learn login code for <NAME> a new employee <EMAIL> <EMAIL> <COMPANY> customer id <NUMBER> learn login code for new employees <EMAIL> <EMAIL> and <EMAIL> <EMAIL> <COMPANY> customer id <NUMBER> learn login code for new employee <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Reminder,EqualGlass,Glass size issue <NUMBER> Team We are having an issue with glass sizes not matching for our OSS order vs an order done in Logikal Please see the sizes and email chain below I have attached the orders as well as the shop drawings <NAME> is telling us that <NAME> from <COMPANY> did the calculations for the glass for the transoms and what is on the Logikal quote is correct however we are getting different numbers on our OSS quote Can you please advise on the discrepancies <NAME> <NAME> 
Feedback,Documents,OSS no images on <PRODUCT> Just processed this quote but the images are not loading for the <PRODUCT> <NAME> 
Callback,Report,Report <NAME> As discussed could I have a report of Premium Partners showing sales turnover and the County they are in?
Account,Information,<COMPANY> branches and OSS All Can you please advise on whether we can pull up a list of <COMPANY> and <COMPANY> branches who are live for ordering on OSS I believe that most <COMPANY> branches should be quoting only but there may be a few other than <NAME> from <ADDRESS> who are ordering too <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Information,Information,<PRODUCT> Tab training All Can you please let me know what the <LENGTH> highlighted in <COLOUR> is <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Gables,Account,<COMPANY> customer id <NUMBER> All Can I please have the learn login code and link to the <PRODUCT> tab for <NAME> at <COMPANY> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Forward,Information,<STYLE> Gaskets Do we only offer <COLOUR> gaskets for <STYLE> Are there any other options available such as <COLOUR> gaskets <NAME>
Account,Account,OSS Query <COMPANY> Just had a call from <NAME> at <COMPANY> He used to be the manager of <COMPANY> and has his login details for OSS Would it be possible to change his OSS account from <COMPANY> <NUMBER> to <COMPANY> <NUMBER> <NAME> <NAME> <NAME> <EMAIL> 
Account,Account,OSS Credentials QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Account,Account,<COMPANY> <NUMBER> Can I please have login details for the learner site for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,customer <NUMBER> <NAME> can you please send me log in details for above agent and live link as oss training him on <DATE> he needs to be live but ordering disabled <NAME> <NAME>
Error,Information,<STYLE> <COMPANY> Is there a reason why we cannot do this <PRODUCT> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Logo,Admin,FW Telephone number on website All Can you please see the request below from <COMPANY> customer id <NUMBER> I believe <NAME> is referring to the Customer Specification Document on OSS Can you please change the contact number to <NUMBER> <NAME> 
Pricing,Error,FW Weight issue on a top hung <NAME> Was putting on a quote this and noticed this error message Is this worth looking into as obviously we tell our customers we can achieve a top hung at <NUMBER> x <NUMBER> <EMAIL>
Account,Account,OSS LIVE QUOTE ONLY <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Delivery,Availability,<NUMBER> <COMPANY> tried to order this <PRODUCT> for delivery on <NUMBER> <DATE> and OSS wouldnt let the customer place the order before <NUMBER> <DATE> It is a stock colour with <COLOUR> furniture not sure if it a blip can you check please
Reminder,Forward,FW <PRODUCT> <PRODUCT> Showing handle position on finished quote order OSS All Can you please see <NAME> email below and advise on whether there are plans to improve the images of <PRODUCT> <PRODUCT> to show the <PRODUCT> handle position on OSS <NAME>
Forward,Weight,FW <NUMBER> Frame sash weight Failed the first time so Ill try again
Account,Account,<COMPANY> ID <NUMBER> Can you please send a link to live OSS to <EMAIL> <EMAIL> as he had issues with his pc and other colleague who doesnt work in this company anymore was using OSS previously If OSS is linked to different email address please change it to this one Can you please copy me in when sending the details over <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Gables,Gables,<COMPANY> customer id <NUMBER> <NAME> Can you please set up <COMPANY> as live for <PRODUCT> on OSS I will save their signoff form when I return home The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Forward,Reminder,FW OSS Error <NAME> I thought we sorted this issue Can you check if this is the same problem please <NAME>
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Reminder,Reminder,FW <COLOUR> <COLOUR> <NAME> Can you let me know where you are on this please I really need to get this quote back to my customer <NAME>
Information,Feedback,He has also asked me to provide some feedback for OSS Please see below Can we please provide an indication of the length of the trims on OSS <LENGTH> lengths He called the office and was told <LENGTH> by one person and then <LENGTH> by another Another suggestion from <NAME> was to call refer to the direction of the <PRODUCT> as sliding to the left or <NAME> He feels the direction is confusing Can we provide a description of the contents of the fastener kit Can we please mention that keyed alike refers to the key being able to work in other <PRODUCT> sets if specified Would you like me to add these suggestions to Trello <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Forward,Reminder,FW <COLOUR> If you can let me know when this is done
Documents,Documents,OSS learn issue <NAME> Could you please check the OSS learn platform for me I cant generate a quote document The Generating Documents button allows me to click it but then just whirs around in circles for an age I have had IT issues recently so Im not sure whether its me or the programme Best <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Logo,Account,FW <COMPANY> logo customer id <NUMBER> All Could you please add the <PRODUCT> tab to the learn platform that <NAME> and <NAME> from <COMPANY> have been practicing on today Could you also please remove any access to the <COMPANY> live account that <NAME> <NAME> and her daughter <NAME> <NAME> have They no longer work for the company Could you also please add the attached logo to the <COMPANY> OSS account The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Access,Access,reset password Please can you reset my password and <NAME> password as we are both locked out
Account,Pricing,Price jump <NUMBER> <COMPANY> <NAME> Customer id <NUMBER> the revision id with the <NUMBER> sets to show the jump is <NUMBER> but the quote that I had sent to the customer was <NUMBER> If you need anything else let me know Many <NAME> <NAME> <EMAIL> 
Logo,Account,FW <COMPANY> Users OSS All Can you please remove <NAME> access to OSS as per <COMPANY> request below The customer id is <NUMBER> <NAME> 
Leaver,Leaver,Leaver <NAME> <NAME> has left the company so if you can close any of his account he has open <NAME> <NAME>
Forward,Forward,FW Urgent <NUMBER> <NAME> <COMPANY> <NAME> This is the email I was on about thank you for all your help <NAME> <NAME>
Error,Authorisation,Training Tab Please may you add my name to the sales training tab on EA <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL> 
Information,Error,Issue with Case fixed case <PRODUCT> Team Please see below This <PRODUCT> is showing that it is okay to do however wont generate a price so I cannot save it on the quote There are other <PRODUCT> like this they are a little smaller that the system let me quote Please advise at your earliest convenience <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <NUMBER> <NUMBER>
Gables,Account,FW Origin Sale Safe OSS Training Signoff forms All Can you please set up <COMPANY> with a live <PRODUCT> tab on OSS The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Availability,Availability,FW <STYLE> <COLOUR> <COLOUR> Lead times Please can you confirm what is the lead time for <STYLE> non stock colours The below email states <NUMBER> weeks but a quote I just did states <NUMBER> weeks <NAME>
