Predicted Class,True Class,Email
Account,Account,FW <COMPANY> customer id <NUMBER> All Can I please have a live login code for <COMPANY> customer id <NUMBER> I will save their signoff form to the Gdrive <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Weight,Forward,Re Query from the <PRODUCT> tab All I will pass this on to <NAME> and <NAME> who queried this during the <PRODUCT> training <NAME>
Forward,Pricing,FW Easi Pricing Error Also the size change was minimal and the color went from <COLOUR> to <COLOUR> we actually thought it would stay same or decrease <EMAIL>
Weight,Gables,<PRODUCT> access Can you please allow access to <PRODUCT> quoting for <COMPANY> <NUMBER> They have been trained by me and attached is the sign off
Gables,Account,FW Origin Sale Safe OSS <PRODUCT> Training All Can you please set up <COMPANY> as live on OSS for <PRODUCT> I will save the sign off form and update Easiadmin on my admin <TIME> on <DATE> <NAME>
Documents,Documents,OSS Error Generating Quotation Project <NUMBER> Im having trouble generating a quotation on OSS Project <NUMBER> Customer <NAME> <NAME> Can you please have a look into this as I need to get this quote over to this customer ASAP <EMAIL>
Account,Account,OSS Credentials QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below customer live on OSS but as QUOTE ONLY <NUMBER> <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Weight,Admin,delivery address Can you please set the below address as the default delivery address for <COMPANY> <NUMBER> <ADDRESS>
Account,Account,FW Quote requests There has been a bit of a change at <COMPANY> recently and due to this I think they need to remove some log in details <NAME> <NAME> and add some extra users Could someone please touch base with <NAME> <NAME> details below to arrange this <NAME>
Account,Account,<NUMBER> <COMPANY> <NUMBER> Can I please have a learner logins for <NUMBER> <COMPANY> <NUMBER> thanks <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <ADDRESS>
Error,Pricing,FW Help <NAME> Please see attachment We have always been under the impression that <COLOUR> costs more than <COLOUR> The quote on the left is <NUMBER> panel <AREA> quoted in all <COLOUR> and is showing more expensive than the second quote on the right that is a <NUMBER> panel <AREA> in all <COLOUR> There is a price difference of <MONEY> Please help me understand <EMAIL>
Account,Account,live login credentials Can you please send me the live login credentials for <COMPANY> <NUMBER> thanks
Feedback,Forward,FW OSS Training Feedback from <COMPANY> All Can you please see the query below from <NAME> of <COMPANY> and advise <NAME>
Account,Account,OSS learn log ins Can you please send me the learn log ins for <COMPANY> and <PRODUCT> ID <NUMBER> Cheers <NAME> <NAME> <NUMBER> <EMAIL> 
Account,Account,FW OSS LIVE <COMPANY> customer id <NUMBER> All Can I please have an additional login code to OSS live for the email address below <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,Quote Only OSS Credentials Could you provide Quote Only Oss Credential for the below company please <COMPANY> ID <NUMBER> <EMAIL> <EMAIL> <NAME>
Account,Account,<COMPANY> <NUMBER> again Can I please have learner logins for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Reminder,Information,FW Quote ref <NAME> The customer has managed to do this <PRODUCT> quote with a side hung wider than <LENGTH> Please can you have a look into it <NAME> <NAME> <EMAIL> 
Forward,Reminder,FW <NAME> <COMPANY> Origin Casement <PRODUCT> <NAME> <NAME> please can one of you check this
Error,Documents,OSS generating quote issue Team My document will not generate it has been spinning for about <NUMBER> minutes now Please assist if possible <NAME> <NAME> 
Callback,Error,SQL Error Please see the SQL error that has popped up today a few times Local to <NAME> <NAME> Any idea how to diagnose this or what it is Its lost on me at this point
Account,Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have OSS learn login information for <COMPANY> They are Onboarding customers and the customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Onboarding customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Information,Information,<PRODUCT> training query from <COMPANY> All Can you please let me know whether the diagonal dimension on a <PRODUCT> includes the cill or not The image appears to end at the top of the cill <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Gables,Gables,FW <COMPANY> <PRODUCT> TAB REQUEST All Can you please set up <COMPANY> with a live <PRODUCT> tab ASAP They have an order to place this I will save their signoff form to the Gdrive <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Forward,Information,Egress Hinges OSS Could you please let me know if you have limitations for <STYLE> and <STYLE> egress hinges new min and max top hung and side hung <EMAIL>
Error,Error,<COMPANY> <PRODUCT> Issue during training All <NAME> and I just have just tried to add a <PRODUCT> on to the learn programme during his training This is a <PRODUCT> that he has already had processed in the office Can you please see the email below that <NAME> sent to me with an image of the <PRODUCT> Below is a screenshot which shows how far OSS would allow us to go with processing the same <PRODUCT> on the learn programme For some reason it wouldnt allow us to add a <LENGTH> upstand on the right hand side Can you please advise <NAME>
Documents,Error,FW Change color in project settings <NAME> We are reporting this for investigation as getting the errors reported continues to reoccur We make an edit to a quote exit and this case we changed project settings from <COLOUR> to <COLOUR> and receive errors Action required is to trouble shoot and hopefully resolve so this does not happen again or forward to whom can help us <NUMBER> <NUMBER>
Account,Admin,Release Orders Chaps Can you release the below orders as the box is greyed out for me <NUMBER> <COMPANY> <NUMBER> <COMPANY> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Error,Error,Errors on <PRODUCT> <PRODUCT> Quote ID <NUMBER> Hey I am experiencing some issues on OSS it doesnt not allow me to change the name reference of the products are any colours of the gaskets seals It just comes up with an error message please could you look into it <NAME> <NAME>
Template,Template,<NUMBER> <COMPANY> On the <COMPANY> OSS account on their <NUMBER> template with colour coded hardware can you please amend the seals and gaskets colour from <COLOUR> to <COLOUR> please As they always have colour coded seals and gaskets <NAME>
Forward,Reminder,FW Project id <NUMBER> equal glass sizes Hey Customer is chasing this with us again please can someone look into this asap <NAME> <NAME>
Account,Account,OSS training login details Please can I have the training login details for <COMPANY> <NUMBER> Can I have a set for <NAME> <NAME> and <NAME> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,Account,<COMPANY> new member passwords Could you provide password for OSS online service for the below person Company <COMPANY> ID <NUMBER> they are Live in OSS Email <EMAIL> <EMAIL> They have trained this new member <NAME> <NAME> <NAME> <EMAIL> 
Error,Error,<PRODUCT> Upstand Sizing Issue on OSS I have processed a <PRODUCT> on OSS this however I was only allowed to put the upstands at a minimum of <LENGTH> rather than <LENGTH> that the customer requested Please see attached the customer request and the original quotation I produced This has since been removed from the project and processed on Logikal I had a look into this with <NAME> who confirmed that the <PRODUCT> upstand would need to be a minimum of <LENGTH> This is due to the fact that the minimum upstand with no cill is <LENGTH> plus the <LENGTH> addon for the bottom and <LENGTH> addon to the slopes <NAME> calculated this and confirmed that the upstand would need to be <LENGTH> as per his drawing attached to allow for the mitred addon for the slope I have therefore had to process on Logikal but I thought I should make you aware
Forward,Forward,Fwd Finger Pull default <NAME> Can you please see the email from <COMPANY> below and advise The customer id is <NUMBER> <NAME>
Error,Error,OSS OSS is still showing <COLOUR> external lever when this is suppose to be internal only in <NUMBER> we also cant even have <COLOUR> with that type of handle Can you look into this please
Reminder,Account,FW <COMPANY> Users OSS Please can you remove this user from customer id <NUMBER> <NAME> <NAME> <EMAIL> 
Account,Account,log in details id <NUMBER> can you please send me log in details for <COMPANY> id <NUMBER> on live link please but ordering disabled I am training them today <NAME> <NAME>
Error,Error,Another issue w OSS configurations Team I am having the same issue I was having the other day where the of <PRODUCT> I want is unavailable I think it is because this is a passthrough unit so since it is short the system isnt allowing all configurations I need to quote a <NUMBER> panel option for this unit <NAME> <NAME> 
Logo,Callback,FW OSS issue Can somebody give me a call please I am trying to do a quote for <COMPANY> <NUMBER> and I keep getting error messages
Callback,Error,Date change Same thing has happened This is when I have gone to change the date
Account,Account,Login Codes for Next Week <NAME> Can I please have the following login codes to OSS for next weeks training <COMPANY> customer id <NUMBER> learn OSS login with the <PRODUCT> tab <NAME> customer id <NUMBER> learn OSS login with the <PRODUCT> tab <COMPANY> customer id <NUMBER> learn OSS login with the <PRODUCT> tab <COMPANY> customer id <NUMBER> learn OSS login with the <PRODUCT> tab <COMPANY> customer id <NUMBER> learn OSS login with the <PRODUCT> tab <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,FW <COMPANY> <NUMBER> This customer will be trained tomorrow and they will become Live Please send Live credential to <NAME> Customer <EMAIL> <EMAIL> ID <NUMBER> <COMPANY>
Forward,Forward,FW Easi Admin Support Needed <NAME> Shouldnt be a problem well get this scheduled in as a job Please send any EA requests issues to <EMAIL> <EMAIL> <NAME>
Account,Account,New Direct Customer for OSS Quote Only Could you please provide the OSS links for Quote Only Access for the following customer <NUMBER> NAME <COMPANY> <EMAIL>
Logo,Forward,FW OSS SET UP <COMPANY> <NUMBER> <NUMBER> Please could you help with the below Im confused <NAME>
Gables,Gables,OSS <PRODUCT> Training <COMPANY>e <NUMBER> <NAME> I am going to try to pop in to see <COMPANY> this afternoon to show them how to use the <PRODUCT> tab Could you please send me the learn login code with their email address The customer id is <NUMBER> <NAME>
Weight,Action,<PRODUCT> Restrictors Are we able to add <PRODUCT> restrictors as an option under the <PRODUCT> <PRODUCT> section We keep having to raise them as a extra ancillary <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,Account,<COMPANY> customer id <NUMBER> All Can I please have the login code to OSS learn for <COMPANY> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,New OSS Account <COMPANY> ID <NUMBER> <NAME> Ive just spoken to <NAME> from <COMPANY> ID <NUMBER> This is the company that have bought out <COMPANY> ID <NUMBER> I informed <NAME> that he will no longer be able to use the old OSS account for <COMPANY> for placing quotes or orders You disabled the ordering on this account last week so they are unable to place orders on this account anyway <NAME> was fine with this I advised him that we will need to create a new OSS account for <COMPANY> He asked if the new account could be set up with the following email address as the username <EMAIL> <EMAIL> Can you please set up the new account and send me the link with the login details once done <NAME> confirmed that they would still like to have access to the old OSS account to view quotations I told him that this shouldnt be a problem so can we please not deactivate the old OSS account for the time being If you need anything else just let me know Many <NAME> <NAME> <EMAIL> 
Project,Account,OSS for Quote Only Please could you supply the links for OSS Quote Only for the following companies <NUMBER> Name <COMPANY> <NUMBER> Name <COMPANY> <EMAIL>
Callback,Forward,Fwd Origin <COMPANY> REF <NAME> Begin forwarded message 
Gables,Account,FW OSS sign Off Forms <COMPANY> customer id <NUMBER> <NAME> Could you please set up <COMPANY> as live on OSS Could you please set their <PRODUCT> tab live as well please and send me through their login codes if they have changed <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Reminder,Information,FW Bay <PRODUCT> quote Can you check to see if this quote was done under the testing system as I cannot find it
Logo,Logo,FW Our Logo All Can you please add <COMPANY> logo to the customer Specification Document on their OSS account The customer id is <NUMBER> <NAME>
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Documents,Documents,OSS Project <NUMBER> Please could you have a look into project <NUMBER> for <COMPANY> we are trying to download the confirmations but the button keeps spinning and it doesnt actually generate anything Please can you advise asap <NAME> <NAME> <NAME> <EMAIL> 
Callback,Action,Special colours on OSS <NAME> As per our conversation can we build the option in OSS for special colours to be available only for Origin staff Please let me know if you have any questions <NAME> <NAME> <EMAIL> 
Information,Documents,<NUMBER> <COMPANY> <NUMBER> Is there a way you can get into this quote the customer is desperate for Glass sizes but as its a Biggy its just generating for ages Could you let me know if you can do anything your end please
Gables,Gables,FW OSS Signoff Sheet All Can you please set up <NAME> from <COMPANY> as live on OSS for <PRODUCT> The customer id is <NUMBER> I will save his signoff form <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Forward,Account,FW OSS sign off forms Can you please check if the below logins are correct for the live site <NUMBER> <NAME> 
Account,Account,FW log in details Can we have the log in details for the online ordering please
Action,Report,Report Would it be possible to get a report generated for any <PRODUCT> <PRODUCT> order that has the reference of showroom and for it to display what panel was selected We are cutting down the range and I want to make sure that any sample thats currently in a showroom is still going to be one of the ones that were offering I have done an EA search for Product of <PRODUCT> <PRODUCT> and reference of showroom and there are <NUMBER> so if its possible I would love to have the panel option thats been ordered on one spread sheet Any questions please let me know <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Delivery,Delivery,FW <NUMBER> <COMPANY> guys Please can you amend the delivery date on o/n <NUMBER> for today
Account,Account,Origin Frames Can I please have learner logins for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,OSS Quote Only Can we have the OSS Quote Only links for the following customer <NUMBER> Name <COMPANY> <EMAIL>
Forward,Error,OSS Error team I have been having some issues with OSS creating these blacked out areas on the bottom and now top of my screen Please see attached Usually by <DATE> I am missing <NUMBER> of my screen The only way to make the lines go away is to reboot my computer which isnt always practical Is there any way that we can fix this Oddly enough I seem to be the only person in our office who is having this issue <EMAIL> <NUMBER> <NUMBER>
Gables,Documents,OSS issue generating doc Team I am trying to generate my document to go over a few of this <PRODUCT> with <NAME> this and the system seems to be stuck Can you please look into this for me <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <NUMBER> <NUMBER>
Account,Account,<COMPANY> Learn log in ID <NUMBER> Morning Could you please send me the <COMPANY> OSS learn log in please Cheers <NAME> <NAME> <NUMBER> <EMAIL> 
Account,Logo,FW <COMPANY> change of details <NAME> Do you know how to update OSS so the attached logo is shown on <COMPANY> quotes <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <EMAIL>
Project,Pricing,<COMPANY> <NUMBER> OSS ID The above OSS quote for <PRODUCT> is adding the RAL shortfall to the price however is saying The customer is obviously now querying the price Please look into this <NAME> <NAME> <EMAIL> 
Availability,Action,Special Colour items in OSS orders <NUMBER> Order <NAME> Below a case of one Online OSS orders <NUMBER> that was raised for the customer without additional information so those orders are not checked by anybody and they are ticked off and saved in the folder This order coming with special colour trim but apparently it didnt go directly to Purchasing and they didnt order the trim for the customer causing a delay on the pieces As they are going to be fully automatic on <DATE> can we sort that Purchasing will receive any orders with special colour part in Let me know if you need further clarification
Logo,Logo,FW <PRODUCT> learn tab for OSS Sign off forms All Can you please add the attached logo to the <COMPANY> OSS account The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,FW OSS Live Link <COMPANY> <NUMBER> <NAME> Not sure who I should be asking for this but could you please send over to <NAME> <NAME> the link OSS live for customer <COMPANY> <NUMBER> <EMAIL>
Reminder,Error,FW OSS Error See issue below Can we get help preventing this from happening when we edit the dynamic drop down list This is reoccurring <NUMBER> <NUMBER>
Colour,Colour,FW Quote <NAME> <NAME> Please can you add <COLOUR> and <COLOUR> to Easi Admin for colour choices The costing will be Both carry <NUMBER> surcharge on top of standard rates Min Coating Charge <NUMBER> each colour As per the below email Any issues please let me know <NAME>
Forward,Error,<COLOUR> Colour error on <STYLE> I cannot change the colour on <STYLE> it keeps bringing up an error <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Pricing,Pricing,OSS <STYLE> Showroom Order <NAME> is ordering a showroom <PRODUCT> in <STYLE> and the prices are becoming mad See below picture It would be a FOC but not sure is we can put the order on if they are not correct Let me know and I will proceed <NAME>
Forward,Account,FW Sign off form <NAME> Could you please set up <NAME> email as live for quoting only on OSS The account number <NUMBER> <NAME>
Callback,Report,Trade Companies Report We are starting a new project in Onboarding Presales and we need to know how many accounts we hold Could you provide us with a report with all the trade companies that are already set up in our system please
Account,Account,<COMPANY> ID <NUMBER> Can you please send log in details to <COMPANY> for OSS as they dont have them to hand <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,Account,FW OSS login Could you please have a look at below request and provide new login details for below customer <NAME> <NAME> 
Gables,Account,<COMPANY> ID <NUMBER> Can you please set up <COMPANY> on live quoting only I trained them yesterday and are keen to get going straight away Onboarding are aware of their request and <NAME> will be sending through the set up form shortly
Gables,Gables,FW <PRODUCT> Tab live for The <COMPANY> customer id <NUMBER> <NAME> Could you please set up The <COMPANY> customer id <NUMBER> so that they have live access to the <PRODUCT> tab <NAME>
Reminder,Information,FW Egress Hinges Could you please let me know if there is a way to find out what quotes and orders are already on OSS and are being affected by this change so we can let customers know <NAME>
Account,Account,Customer ID <NUMBER> <NAME> from <COMPANY> log in problems Please see below email sent from <NAME> from <COMPANY> Could you have a look into it please He was given the below credential several days ago Email <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <EMAIL> 
Forward,Information,FW <NAME> <NUMBER> Please can you have a look at the attached project ref <PRODUCT> <NUMBER> The height needs to be <LENGTH> including cill and addons but OSS does not allow it Please can you advise <NAME>
Template,Admin,Re <COMPANY> IMPORTANT <NAME> I know this is not the norm but to get <NAME> to use oss is a hardship in its self Could you please try and find a way to remove that on the Origin default setting as well Or if that is not possible remove the Origin default settings completely from his system We need to find a way for them to have no possible way of selecting this that does not rely on their staff selecting or toggling off a section Elite Please ensure you do not enter any of the fastener kits onto their orders <NAME>
Account,Account,<COMPANY> <NUMBER> Can I please have learner logins for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Delivery,Delivery,FW ORDER REF <COMPANY> <NUMBER> EA Team – Please amend the delivery date to todays date for order <NUMBER>
Account,Account,OSS Quote Only Access Could we please have the links for OSS Quote only for the following customer Customer <NUMBER> Name <COMPANY> <EMAIL>
Documents,Documents,Generation error <NUMBER> <NUMBER> <COMPANY> are having trouble generating a quote to provide glass sizes I have attempted to generate the quote but was unable to Project ID <NUMBER> <NUMBER> <NAME> <NAME> 
Pricing,Action,<PRODUCT> configs <COMPANY> are after a <NUMBER> <PRODUCT> set we already have <NUMBER> but neither OSS or easi admin have the reverse Please can this be added as soon as possible <NAME> <NAME> <EMAIL> 
Account,Error,<COMPANY> login code for <NAME> All <NAME> from <COMPANY> customer id <NUMBER> is having difficulty logging in with the below Could you please check this for me <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Feedback,Error,<PRODUCT> Increase to <AREA> all On staging the error message that occurs when the <PRODUCT> goes over <AREA> is displaying in terms of sash instead of in terms of frame ie its converting the frame dimensions into equivalent sash dimensions and saying the sash needs to be less than <AREA> instead of giving the frame dimensions and saying this needs to be less than <AREA> Ive noticed the same thing is also happening on live with the current <AREA> limit The only different is it says the sash needs to be less than <AREA> rather than calcing down to give the equivalent lower sash <AREA> limit This actually means the live version has been allowing <PRODUCT> over <AREA> because its only limiting if a prospective sash would be over <AREA> not the frame eg <LENGTH> x <LENGTH> is allowed which is just shy of <AREA> Staging Live <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,FW PORTAL All Can you please set up an live OSS admin login for at <COMPANY> <COMPANY> are quoting only The customer id is <NUMBER> will then be able to issue a login code for <NAME> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Colour,Colour,FW <COLOUR> Please can you add <COLOUR> to easiadmin and oss It is a standard surcharge
